Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,SSD,HDD,Flash_Storage,Hybrid,Cpu_speed_GHz,Cpu_brand,Gpu_brand,Touchscreen,IPS,PPI
Asus,Gaming,15.6,8,Windows 10,2.2,949.0,0.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,0,141.21
Lenovo,Notebook,15.6,8,No OS,2.2,519.0,0.0,2000.0,0.0,0.0,2.5,Intel i5,Intel,0,0,141.21
Dell,Notebook,15.6,8,Windows 10,2.02,855.0,128.0,1000.0,0.0,0.0,1.8,Intel i7,Intel,0,0,141.21
Acer,Notebook,15.6,4,Windows 10,2.2,530.0,0.0,1000.0,0.0,0.0,2.7,Intel i3,Nvidia,0,0,141.21
HP,Notebook,17.3,8,Windows 10,2.5,977.0,128.0,1000.0,0.0,0.0,1.6,Intel i5,Nvidia,0,0,127.34
Dell,Ultrabook,15.6,8,Windows 10,1.88,1096.16,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,0,1,141.21
Apple,Ultrabook,12.0,8,macOS,0.92,1510.0,512.0,0.0,0.0,0.0,1.3,Intel i5,Intel,0,1,226.42
HP,Notebook,14.0,8,Windows 10,1.63,860.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,0,0,157.35
Lenovo,Notebook,15.6,4,Windows 10,2.2,399.0,128.0,0.0,0.0,0.0,2.5,AMD,AMD,0,0,141.21
Acer,Notebook,15.6,4,Windows 10,2.1,395.0,0.0,1000.0,0.0,0.0,3.0,AMD,AMD,0,0,100.45
Dell,Gaming,15.6,16,Windows 10,2.65,1349.0,128.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,1,141.21
HP,Ultrabook,15.6,8,Windows 10,1.83,699.0,256.0,0.0,0.0,0.0,1.8,Intel i7,Nvidia,0,1,141.21
HP,Notebook,15.6,8,Windows 10,1.96,598.99,256.0,0.0,0.0,0.0,2.5,Intel i5,Intel,0,0,141.21
Asus,Gaming,15.6,16,Windows 10,2.2,1449.0,128.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,1,141.21
Dell,Ultrabook,13.3,8,Windows 10,1.21,1649.0,256.0,0.0,0.0,0.0,1.8,Intel i7,Intel,0,1,165.63
Asus,Gaming,15.6,8,Windows 10,2.45,699.0,0.0,1000.0,0.0,0.0,3.0,AMD,AMD,0,0,141.21
Acer,Notebook,15.6,8,Windows 10,2.2,689.0,0.0,1000.0,0.0,0.0,1.8,Intel i7,Nvidia,0,0,141.21
HP,Notebook,13.3,16,Windows 10,1.49,1197.0,512.0,0.0,0.0,0.0,1.8,Intel i7,Intel,0,0,165.63
Dell,Gaming,15.6,8,Windows 10,2.65,1195.0,256.0,0.0,0.0,0.0,2.5,Intel i5,Nvidia,0,0,141.21
Asus,Ultrabook,14.0,8,Windows 10,1.25,1049.0,256.0,0.0,0.0,0.0,2.7,Intel i7,Intel,0,0,157.35
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,847.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,1,1,165.63
Dell,Notebook,15.6,8,Linux,2.2,599.9,0.0,1000.0,0.0,0.0,2.7,Intel i7,AMD,0,0,141.21
Dell,Notebook,15.6,4,Linux,2.2,485.0,256.0,0.0,0.0,0.0,2.0,Intel i3,AMD,0,0,141.21
Asus,Notebook,15.6,6,Windows 10,2.0,577.0,256.0,0.0,0.0,0.0,2.4,Intel i3,Nvidia,0,0,141.21
HP,Gaming,15.6,12,Windows 10,2.62,1249.0,128.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,1,141.21
HP,Notebook,15.6,8,Windows 10,1.91,719.0,256.0,0.0,0.0,0.0,2.7,Intel i7,AMD,0,0,141.21
HP,Notebook,15.6,4,Windows 10,2.1,349.0,0.0,500.0,0.0,0.0,1.5,AMD,AMD,0,0,141.21
Dell,Notebook,15.6,8,Linux,2.2,647.0,0.0,1000.0,0.0,0.0,1.6,Intel i5,AMD,0,0,141.21
HP,Ultrabook,13.3,8,Windows 10,1.38,1119.0,256.0,0.0,0.0,0.0,2.7,Intel i7,Nvidia,0,1,165.63
Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,1340.0,256.0,0.0,0.0,0.0,2.5,Intel i5,Intel,1,0,200.84
HP,Notebook,14.0,6,Windows 10,1.58,659.0,256.0,0.0,0.0,0.0,2.5,Intel i5,Nvidia,0,1,157.35
Lenovo,Notebook,15.6,4,Windows 10,1.85,414.9,0.0,1000.0,0.0,0.0,2.0,Intel i3,Intel,0,0,141.21
Asus,Ultrabook,14.0,8,Windows 10,1.3,1193.0,256.0,0.0,0.0,0.0,2.7,Intel i7,Nvidia,0,1,157.35
MSI,Gaming,15.6,16,Windows 10,2.2,1299.0,256.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,0,141.21
Lenovo,Notebook,14.0,8,Windows 10,1.58,1480.0,256.0,0.0,0.0,0.0,2.7,Intel i7,Intel,0,1,157.35
Asus,Ultrabook,15.6,16,Windows 10,1.5,1262.0,256.0,1000.0,0.0,0.0,1.8,Intel i7,Nvidia,0,0,141.21
Dell,Ultrabook,13.3,8,Windows 10,1.23,1379.0,256.0,0.0,0.0,0.0,2.4,Intel i7,Intel,1,0,276.05
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1399.0,256.0,0.0,0.0,0.0,2.5,Intel i5,Intel,1,1,165.63
HP,Notebook,14.0,4,Windows 10,1.63,722.0,0.0,500.0,0.0,0.0,1.6,Intel i5,Intel,0,1,111.94
Dell,Ultrabook,13.3,8,Windows 10,1.21,1629.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,0,1,165.63
HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,1398.99,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,1,1,165.63
HP,Notebook,14.0,8,Windows 10,1.63,1084.0,512.0,0.0,0.0,0.0,1.8,Intel i7,Intel,0,0,157.35
Dell,Notebook,15.6,8,Windows 10,2.16,1130.33,256.0,1000.0,0.0,0.0,1.8,Intel i7,Nvidia,0,1,141.21
Asus,Notebook,17.3,4,Windows 10,2.0,564.0,0.0,1000.0,0.0,0.0,2.0,Intel i3,Nvidia,0,0,127.34
Asus,Notebook,15.6,8,Windows 10,1.7,1118.0,256.0,0.0,0.0,0.0,1.8,Intel i7,Nvidia,0,0,141.21
Acer,Notebook,15.6,6,Windows 10,2.1,479.0,0.0,1000.0,0.0,0.0,2.4,Intel i3,Intel,1,1,141.21
MSI,Gaming,15.6,16,Windows 10,1.8,2241.5,256.0,2000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,0,141.21
Lenovo,Notebook,15.6,8,No OS,2.2,629.0,256.0,0.0,0.0,0.0,2.5,Intel i5,Nvidia,0,0,141.21
HP,Notebook,17.3,16,Windows 10,2.5,1271.0,512.0,0.0,0.0,0.0,1.8,Intel i7,Nvidia,0,0,127.34
Acer,Notebook,15.6,4,Windows 10,2.1,451.0,256.0,0.0,0.0,0.0,3.0,AMD,AMD,0,0,100.45
HP,Notebook,15.6,4,No OS,1.86,259.0,0.0,500.0,0.0,0.0,1.6,Intel Other,Intel,0,0,100.45
HP,Notebook,14.0,8,Windows 10,1.63,812.0,0.0,1000.0,0.0,0.0,1.6,Intel i5,Intel,0,0,157.35
Asus,Notebook,14.0,4,Windows 10 S,1.65,277.99,64.0,0.0,0.0,0.0,1.5,AMD,AMD,0,0,111.94
Dell,Notebook,17.3,16,Windows 10,2.8,1396.0,256.0,2000.0,0.0,0.0,1.8,Intel i7,AMD,0,0,127.34
HP,Notebook,17.3,8,Windows 10,2.5,928.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,0,0,127.34
Dell,Notebook,15.6,8,Windows 10,2.36,638.99,0.0,1000.0,0.0,0.0,2.5,Intel i5,AMD,0,0,100.45
Dell,Notebook,15.6,4,Windows 10,2.2,449.0,0.0,1000.0,0.0,0.0,2.0,Intel i3,AMD,0,0,141.21
Acer,Ultrabook,14.0,8,Windows 10,1.6,884.0,256.0,0.0,0.0,0.0,1.8,Intel i7,Intel,0,1,157.35
Acer,Notebook,15.6,4,Windows 10,2.2,572.0,256.0,0.0,0.0,0.0,2.7,Intel i3,Nvidia,0,0,141.21
HP,Notebook,15.6,8,Windows 10,2.05,598.0,0.0,1000.0,0.0,0.0,2.7,Intel i7,Intel,0,0,100.45
HP,Notebook,14.0,8,Windows 10,1.63,988.0,256.0,0.0,0.0,0.0,1.8,Intel i7,Intel,0,0,157.35
Lenovo,Notebook,15.6,4,No OS,1.9,252.36,0.0,1000.0,0.0,0.0,1.1,Intel Other,Intel,0,0,100.45
Asus,Gaming,17.3,8,Windows 10,3.0,938.0,128.0,1000.0,0.0,0.0,2.5,Intel i5,Nvidia,0,0,127.34
Lenovo,Notebook,15.6,4,No OS,2.2,499.0,0.0,1000.0,0.0,0.0,2.5,Intel i5,Nvidia,0,0,141.21
HP,Notebook,13.3,4,Windows 10,1.32,699.0,256.0,0.0,0.0,0.0,2.5,Intel i5,Intel,0,1,165.63
Acer,Notebook,17.3,4,Windows 10,3.0,655.0,0.0,1000.0,0.0,0.0,2.7,Intel i3,Nvidia,0,1,127.34
Lenovo,Notebook,14.0,8,Windows 10,1.75,1116.02,256.0,0.0,0.0,0.0,1.6,Intel i5,AMD,0,1,157.35
Lenovo,Gaming,15.6,8,No OS,2.4,869.0,256.0,0.0,0.0,0.0,2.8,Intel i7,Nvidia,0,1,141.21
Toshiba,Notebook,15.6,4,Windows 10,2.1,602.0,0.0,500.0,0.0,0.0,2.3,Intel i5,Intel,0,0,100.45
HP,Notebook,15.6,4,Windows 10,1.86,369.0,256.0,0.0,0.0,0.0,2.5,AMD,AMD,0,0,100.45
Asus,Ultrabook,14.0,8,Windows 10,1.25,1099.0,256.0,0.0,0.0,0.0,1.8,Intel i7,Intel,0,0,157.35
HP,Ultrabook,12.5,8,Windows 10,0.97,2014.0,512.0,0.0,0.0,0.0,1.2,Intel Other,Intel,1,1,352.47
Asus,Notebook,15.6,4,Windows 10,2.0,344.0,0.0,1000.0,0.0,0.0,1.1,Intel Other,Intel,0,0,141.21
MSI,Gaming,17.3,16,Windows 10,2.9,2029.0,256.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,0,127.34
Acer,Notebook,15.6,4,Windows 10,2.1,447.0,0.0,1000.0,0.0,0.0,2.0,Intel i3,Intel,0,0,100.45
Dell,Gaming,15.6,16,Windows 10,2.56,1249.26,512.0,0.0,0.0,0.0,2.8,Intel i7,Nvidia,0,0,141.21
Dell,Gaming,15.6,8,Windows 10,2.62,899.0,0.0,0.0,0.0,1000.0,2.8,Intel i7,Nvidia,0,0,141.21
Lenovo,Notebook,15.6,4,Windows 10,1.9,498.0,128.0,0.0,0.0,0.0,2.5,Intel i5,Intel,0,0,100.45
MSI,Gaming,17.3,16,Windows 10,2.8,1890.0,256.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,0,127.34
HP,Ultrabook,14.0,4,Windows 10,1.48,1082.0,256.0,0.0,0.0,0.0,2.7,Intel i5,Intel,0,0,157.35
HP,Notebook,15.6,6,Windows 10,1.91,619.0,256.0,0.0,0.0,0.0,1.6,Intel i5,AMD,0,0,141.21
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,629.0,256.0,0.0,0.0,0.0,2.4,Intel i3,Intel,1,1,157.35
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,1315.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,1,0,165.63
Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,1049.0,256.0,0.0,0.0,0.0,1.8,Intel i7,Intel,1,0,141.21
Toshiba,Notebook,15.6,4,Windows 10,2.1,447.0,0.0,500.0,0.0,0.0,2.2,Intel i3,Intel,0,0,100.45
Asus,Notebook,15.6,4,Windows 10,2.03,403.0,0.0,1000.0,0.0,0.0,3.0,AMD,AMD,0,0,100.45
Acer,Notebook,17.3,4,Windows 10,3.0,805.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Nvidia,0,1,127.34
Dell,Notebook,15.6,8,Windows 10,2.13,728.0,256.0,0.0,0.0,0.0,1.6,Intel i5,AMD,0,0,141.21
Lenovo,Gaming,15.6,16,Windows 10,2.5,1079.0,256.0,0.0,0.0,0.0,2.8,Intel i7,Nvidia,0,1,141.21
Acer,Notebook,15.6,4,Windows 10,2.1,348.0,0.0,1000.0,0.0,0.0,1.1,Intel Other,Intel,0,0,100.45
MSI,Gaming,15.6,16,Windows 10,2.4,1799.0,256.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,1,141.21
Acer,Notebook,15.6,4,Windows 10,2.1,363.51,0.0,1000.0,0.0,0.0,1.1,Intel Other,Intel,0,0,100.45
Dell,Gaming,15.6,8,Windows 10,2.56,1060.49,128.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,0,141.21
Acer,Notebook,17.3,8,Windows 10,3.0,854.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Nvidia,0,1,127.34
HP,Notebook,13.3,4,Windows 10,1.49,754.0,0.0,500.0,0.0,0.0,1.6,Intel i5,Intel,0,1,165.63
Huawei,Ultrabook,13.0,8,Windows 10,1.05,1349.0,256.0,0.0,0.0,0.0,2.5,Intel i5,Intel,0,1,199.69
HP,Notebook,17.3,6,Windows 10,2.71,699.0,0.0,2000.0,0.0,0.0,2.5,Intel i5,AMD,0,1,127.34
Lenovo,Notebook,15.6,4,No OS,2.2,309.0,0.0,500.0,0.0,0.0,2.9,AMD,AMD,0,0,100.45
Toshiba,Notebook,15.6,4,Windows 10,2.0,489.0,0.0,500.0,0.0,0.0,2.4,Intel i3,Intel,0,0,100.45
HP,Notebook,17.3,8,Windows 10,2.5,923.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Nvidia,0,0,127.34
Dell,Notebook,15.6,8,Windows 10,2.3,459.0,0.0,1000.0,0.0,0.0,2.4,Intel i3,Intel,0,0,100.45
Acer,Notebook,15.6,4,Windows 10,2.1,449.0,128.0,0.0,0.0,0.0,2.0,Intel i3,Intel,0,0,100.45
MSI,Gaming,18.4,32,Windows 10,4.4,2799.0,512.0,1000.0,0.0,0.0,2.9,Intel i7,Nvidia,0,0,119.72
Lenovo,Notebook,15.6,8,Windows 10,1.9,813.0,128.0,1000.0,0.0,0.0,2.5,Intel i5,AMD,0,0,141.21
HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,1499.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,1,1,331.26
Dell,Notebook,15.6,16,Linux,2.02,1049.0,256.0,2000.0,0.0,0.0,1.8,Intel i7,AMD,0,0,141.21
Dell,Ultrabook,13.3,8,Windows 10,1.23,1399.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,0,0,165.63
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,1849.0,512.0,0.0,0.0,0.0,1.8,Intel i7,Intel,1,1,316.97
Toshiba,Notebook,15.6,8,Windows 10,2.0,793.0,128.0,0.0,0.0,0.0,2.5,Intel i5,Intel,0,0,100.45
Xiaomi,Notebook,15.6,8,No OS,1.95,1199.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Nvidia,0,1,141.21
Dell,Notebook,17.3,16,Windows 10,2.77,1549.0,512.0,0.0,0.0,0.0,1.8,Intel i7,Nvidia,1,0,127.34
Dell,Notebook,15.6,16,Windows 10,2.06,2397.0,512.0,0.0,0.0,0.0,2.8,Intel i7,Nvidia,1,0,282.42
Lenovo,Gaming,15.6,8,No OS,2.4,779.0,256.0,0.0,0.0,0.0,2.5,Intel i5,Nvidia,0,1,141.21
Acer,Ultrabook,13.3,8,Windows 10,1.12,989.0,256.0,0.0,0.0,0.0,1.2,Intel i5,Intel,0,1,165.63
Dell,Notebook,17.3,8,Windows 10,2.8,1085.0,128.0,1000.0,0.0,0.0,1.8,Intel i7,AMD,0,0,127.34
Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,2824.0,1000.0,0.0,0.0,0.0,2.7,Intel i7,Intel,1,0,209.8
Vero,Notebook,14.0,4,Windows 10,1.3,260.0,0.0,0.0,32.0,0.0,1.1,Intel Other,Intel,0,1,157.35
Xiaomi,Ultrabook,13.3,8,No OS,1.3,999.9,256.0,0.0,0.0,0.0,2.5,Intel i5,Nvidia,0,1,165.63
Lenovo,Notebook,17.3,8,No OS,2.8,698.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Nvidia,0,0,106.11
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,839.0,0.0,1000.0,0.0,0.0,1.8,Intel i7,Intel,1,1,165.63
HP,Notebook,17.3,8,Windows 10,2.5,914.0,0.0,1000.0,0.0,0.0,1.6,Intel i5,Nvidia,0,1,127.34
Razer,Gaming,17.3,32,Windows 10,3.49,6099.0,1000.0,0.0,0.0,0.0,2.9,Intel i7,Nvidia,1,0,254.67
HP,Notebook,13.3,8,Windows 10,1.49,959.0,512.0,0.0,0.0,0.0,1.6,Intel i5,Intel,0,0,165.63
HP,Gaming,17.3,16,Windows 10,3.35,1379.0,256.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,1,127.34
HP,Notebook,17.3,8,Windows 10,2.5,1045.0,256.0,0.0,0.0,0.0,1.8,Intel i7,Nvidia,0,0,127.34
